SITE_ID,UID,VISIT_NO,REF_NWCA,NWCA_ECO4,NWCA_WET_GRP,TOTN_SPP,TOTN_FAM,H_ALL,J_ALL,D_ALL,TOTN_NATSPP,TOTN_INTRSPP,H_NAT,J_NAT,D_NAT,N_GRAMINOID,N_FORB,N_HERB,N_SHRUB,N_TREE,N_ANNUAL,N_PERENNIAL,FREQ_SUBMERGED_AQ,FREQ_FLOATING_AQ,FREQ_VTALL_VEG,FREQ_TALL_VEG,FREQ_HMED_VEG,FREQ_MED_VEG,FREQ_SMALL_VEG,FREQ_VSMALL_VEG,FREQ_H2O,FREQ_LITTER,FREQ_EXPOSED_SOIL,FREQ_EXPOSED_GRAVEL,XABCOV_AC,ELEVMAX_200M,ELEVMEAN_200M,ELEVMIN_200M,PCVPY_PT,PIP_PT,PMAX_PT,PMEAN_PT,PMIN_PT,TIP_PT,TMAX_PT,TMAXSD_PT,TMEAN_PT,TMEANPW_PT,TMEANPY_PT,TMEANSD_PT,TMIN_PT,TMINSD_PT,pH_All_Layers,pH_Upper_Layer
NWCA11-1014,3239,1,I,CPL,PRLW,55,35,3.0205,0.7537,0.9154,51,3,2.8905,0.7352,0.9048,11,17,28,2,7,4,48,0,0,20,80,100,100,100,100,20,100,60,0,14.8,0.64,0.498,0.22,0.67488,46.153,19.994,132.668,5.868,26.404,25.57,0.527,19.586,9.207,19.538,0.596,13.6,0.788,3,3
NWCA11-1015,5060,1,I,CPL,PRLW,26,21,2.0421,0.6268,0.7824,25,1,1.9032,0.5913,0.7342,4,11,15,1,3,0,26,0,0,0,100,100,100,100,100,0,100,100,0,29,0.69,0.34,0,0.500731,56.82,19.097,147.187,6.452,26.605,24.91,0.638,20.116,10.095,20.057,0.54,15.32,0.652,6.15,6.15
NWCA11-1017,3471,1,L,CPL,EH,11,7,1.1755,0.4902,0.5927,11,0,1.1755,0.4902,0.5927,7,1,8,0,0,0,9,0,0,0,0,0,0,100,100,0,0,100,0,0,0.66,0.47,0.18,0.617094,50.61,18.389,126.655,5.567,26.916,24.78,0.509,19.232,8.853,19.579,0.504,13.69,0.66,5.65,5.65
NWCA11-1019,3982,1,L,CPL,EW,17,14,1.747,0.6166,0.72,17,0,1.747,0.6166,0.72,3,1,4,2,1,0,16,0,0,0,0,0,100,100,20,40,100,100,0,0,0.52,0.35,0.2,0.606154,48.372,17.538,126.664,5.69,26.866,25.22,0.499,19.601,9.258,19.839,0.543,13.98,0.644,3.3,3.3
NWCA11-1020,3738,1,M,CPL,PRLW,20,18,1.9892,0.664,0.805,16,2,1.7713,0.6389,0.7636,1,5,6,0,5,1,17,0,0,0,20,100,100,100,100,0,100,100,0,19.6,0.7,0.7,0.7,0.592627,50.383,17.004,126.395,5.824,26.799,24.92,0.501,19.457,8.953,19.645,0.516,14,0.614,5.4,5.4
NWCA11-1021,3469,1,I,CPL,EH,4,3,0.1968,0.142,0.074,4,0,0.1968,0.142,0.074,3,1,4,0,0,0,4,0,0,0,0,0,0,100,100,20,100,80,0,0,0.3,2.10E-02,0,0.624301,53.565,16.93,134.221,7.756,25.971,22.92,0.545,18.256,7.055,18.361,0.563,13.6,0.701,6.5,6.5
NWCA11-1023,5061,1,I,CPL,EW,24,19,2.0366,0.6408,0.7357,22,2,1.9265,0.6233,0.7164,2,6,8,1,3,0,23,0,0,0,0,80,100,80,40,20,100,100,0,5.2,0.27,0.231,0.23,0.529384,49.544,18.582,128.95,5.564,26.758,24.85,0.546,20.088,10.247,20.175,0.562,15.33,0.736,4.4,4.4
NWCA11-1027,3980,1,I,CPL,EW,20,17,1.7645,0.589,0.6813,20,0,1.7645,0.589,0.6813,3,4,7,2,2,0,18,0,0,0,0,0,100,100,60,0,100,80,0,0,1.76,0.988,0.02,0.370682,57.544,11.867,114.146,7.714,23.374,18.52,0.592,13.786,1.822,14.394,0.574,9.05,0.65,5.275,5.2
NWCA11-1028,3795,1,I,CPL,PRLW,19,15,2.1836,0.7416,0.8179,17,2,2.0595,0.7269,0.7913,0,4,4,0,6,0,19,0,0,0,100,100,100,80,100,0,100,40,0,17.4,0.55,0.489,0.42,0.645591,46.036,16.87,133.728,7.548,26.238,23.32,0.531,18.457,7.492,18.534,0.553,13.59,0.697,5.8,5.8
NWCA11-1029,3739,1,L,CPL,PRLW,24,16,2.1614,0.6801,0.8078,24,0,2.1614,0.6801,0.8078,1,3,4,4,5,1,23,0,0,0,60,40,100,80,100,0,100,40,0,0,1.25,0.615,0,0.594863,48.589,17.315,126.302,5.886,26.763,24.96,0.502,19.317,8.967,19.663,0.509,13.67,0.625,4,4
NWCA11-1030,3794,1,I,CPL,PRLW,40,26,3.2751,0.8878,0.9519,37,3,3.187,0.8826,0.9475,0,4,4,5,15,0,40,0,0,0,60,100,100,100,80,0,100,20,0,11.4,0.21,0.103,-0.14,0.601395,50.188,17.015,126.519,5.795,26.74,25.46,0.504,19.499,8.945,19.59,0.528,13.54,0.615,4.6,4.6
NWCA11-1035,5062,1,I,CPL,EH,17,11,2.3342,0.8239,0.8764,15,2,2.299,0.849,0.8748,5,6,11,0,1,1,16,0,0,0,0,20,100,100,100,0,100,0,0,46.6,0.34,0.117,-7.00E-02,0.609262,48.863,18.495,130.672,5.749,26.456,25.2,0.511,19.703,9.567,19.796,0.561,14.21,0.737,3.1,3.1
NWCA11-1039,3793,1,L,CPL,EH,17,15,1.8848,0.6653,0.7645,17,0,1.8848,0.6653,0.7645,4,2,6,2,1,0,15,0,0,0,0,0,100,100,100,0,100,100,0,0,0.76,0.132,-0.13,0.498153,51.22,10.971,109.286,7.841,23.125,18.64,0.596,14.139,2.412,14.76,0.529,9.64,0.617,5.85,5.8
NWCA11-1043,5063,1,M,CPL,PRLH,68,32,2.7898,0.6612,0.894,50,12,2.4122,0.6166,0.8544,22,25,47,0,6,5,50,0,0,0,60,60,60,100,100,0,80,80,0,21.74,0.38,0.142,-0.12,0.529384,49.544,18.727,129.023,5.555,26.758,25.03,0.546,20.205,10.247,20.175,0.562,15.38,0.736,4.6,4.6
NWCA11-1043,5064,2,M,CPL,PRLH,52,25,2.6696,0.6756,0.8478,42,8,2.3289,0.6231,0.7832,17,22,39,0,4,4,40,0,0,0,60,0,20,80,100,0,100,80,0,19.52,0.94,0.671,0.39,0.595972,48.954,18.058,127.803,5.662,27.198,24.69,0.483,19.59,9.668,20.161,0.541,14.49,0.664,3.4,3.4
NWCA11-1045,5065,1,I,CPL,PRLH,22,17,2.2375,0.7239,0.8274,22,0,2.2375,0.7239,0.8274,0,6,6,1,7,0,22,0,0,0,20,40,100,100,100,0,100,80,0,0,0.22,3.40E-02,0,0.690208,49.632,17.086,121.799,6.362,26.796,24.41,0.565,19.025,8.55,19.43,0.537,13.64,0.637,7.2,7.2
NWCA11-1046,5066,1,M,CPL,PRLW,30,23,2.3559,0.6927,0.8566,30,0,2.3559,0.6927,0.8566,3,1,4,0,9,0,29,0,0,20,80,100,100,100,100,0,80,80,0,0,0.24,0.157,-0.14,0.608,51.347,17.187,117.956,5.697,26.685,24.03,0.516,19.321,9.087,19.674,0.499,14.62,0.745,3,3
NWCA11-1047,5067,1,M,CPL,PRLW,64,31,2.1281,0.5117,0.7825,61,1,2.1022,0.5114,0.7799,17,15,32,2,8,3,58,0,0,0,0,0,100,100,100,0,100,0,0,0.06,0.27,0.112,0.01,0.659469,49.938,17.057,123.2,6.433,26.746,24.17,0.582,19.131,8.651,19.479,0.559,14.09,0.694,3.8,3.8
NWCA11-1047,5068,2,M,CPL,PRLW,49,28,2.5113,0.6453,0.8379,42,4,2.2886,0.6123,0.8033,11,6,17,2,8,0,46,0,0,0,0,40,100,100,100,0,100,80,0,12.8,0.63,0.409,0.27,0.596396,50.376,16.926,125.419,5.716,27.175,24.39,0.478,19.544,9.433,19.947,0.52,14.7,0.613,5.6,5.6
NWCA11-1050,5069,1,M,CPL,PRLW,18,15,1.2464,0.4312,0.5703,18,0,1.2464,0.4312,0.5703,0,5,5,1,6,1,16,0,0,0,0,0,100,100,100,20,100,100,0,0,0.8,0.655,0.61,0.730784,51.949,16.41,126.239,6.935,26.599,23.74,0.514,18.696,8.228,18.939,0.543,13.65,0.641,4.6,4.6
NWCA11-1051,3714,1,M,CPL,PRLW,70,36,3.1078,0.7315,0.9345,66,3,3.0812,0.7354,0.9335,14,13,27,3,15,2,66,0,0,40,60,100,100,100,100,0,100,40,0,1.86,2.67,0.714,4.00E-02,0.615183,51.794,17.539,121.096,5.737,26.74,24.21,0.506,19.306,9.103,19.648,0.496,14.4,0.69,3.2,3.2
NWCA11-1053,5070,1,M,CPL,PRLH,11,10,0.5804,0.242,0.2094,11,0,0.5804,0.242,0.2094,1,2,3,0,4,0,11,0,0,0,20,60,60,100,40,100,100,0,0,0,0,0,0,0.866972,65.867,18.881,148.321,8.385,25.932,21.19,0.553,17.243,5.917,17.383,0.592,13.3,0.796,5.05,5.05
NWCA11-1054,3468,1,M,CPL,PRLH,14,8,1.5282,0.5791,0.7367,9,2,1.4487,0.6593,0.7281,3,6,9,0,2,1,10,0,0,0,0,0,0,60,100,100,100,0,0,0.24,0.17,5.00E-03,0,0.683109,51.03,16.558,132.122,7.381,25.231,22.56,0.585,17.269,5.818,17.465,0.557,11.97,0.819,7.5,7.5
NWCA11-1059,3467,1,I,CPL,PRLH,76,37,3.1818,0.7347,0.9349,65,5,2.9956,0.7176,0.919,21,21,42,1,11,5,61,0,0,0,0,0,0,100,100,0,100,80,0,11.1,0.58,0.318,-0.33,0.478168,51.856,19.779,130.825,6.347,26.797,25.32,0.503,20.764,11.502,20.985,0.511,16.2,0.683,4.7,4.7
NWCA11-1061,5280,1,M,CPL,PRLW,29,17,2.1609,0.6417,0.8027,25,3,2.0607,0.6402,0.7922,9,8,17,0,4,1,27,0,0,0,0,20,100,100,100,0,100,100,0,2.26,0.68,0.583,0.49,0.539611,54.604,10.815,111.037,7.819,24.032,19.63,0.615,14.884,2.498,15.472,0.543,10.14,0.59,5.84,5.633333333
NWCA11-1063,5312,1,I,CPL,PRLW,42,26,2.4403,0.6529,0.8769,41,1,2.4395,0.6569,0.8769,6,5,11,1,10,0,41,0,0,20,100,100,100,100,100,20,100,40,0,0.02,0.41,0.211,-5.00E-02,0.622623,52.442,18.227,124.831,5.66,26.882,24.55,0.508,19.269,8.991,19.622,0.499,13.99,0.672,5.8,5.8
NWCA11-1065,5145,1,I,CPL,PRLH,25,20,1.8927,0.588,0.7887,21,0,1.8082,0.5939,0.78,3,12,15,0,5,1,21,0,0,0,80,20,40,100,100,80,20,60,0,0.4,3.71,1.033,9.00E-02,0.765934,48.043,17.71,122.533,6.443,26.822,24.51,0.617,19.275,8.84,19.616,0.553,14.04,0.601,4.8,4.8
NWCA11-1070,5144,1,L,CPL,PRLW,27,18,2.4293,0.7371,0.8727,27,0,2.4293,0.7371,0.8727,0,3,3,0,9,0,27,0,0,100,100,100,100,100,100,0,100,60,0,0,0.02,0.02,0.02,0.690208,49.632,17.093,122.284,6.388,26.796,24.4,0.565,19.046,8.55,19.43,0.537,13.69,0.637,4.133333333,4.133333333
NWCA11-1071,5311,1,M,CPL,PRLW,72,44,2.7131,0.6344,0.8581,67,1,2.6493,0.6301,0.8527,13,16,29,2,12,3,64,0,0,0,0,100,100,100,100,0,100,60,0,1.6,1.95,0.354,-0.28,0.510831,52.67,20.897,133.184,6.571,26.775,25.34,0.557,20.775,11.768,21.258,0.545,16.21,0.762,6.4,6.4
NWCA11-1072,3715,1,M,CPL,PRLW,31,22,2.2431,0.6532,0.8152,29,0,2.2179,0.6587,0.8128,3,5,8,0,9,1,27,0,0,0,0,100,100,100,100,0,100,80,0,0,0.3,0.256,0.15,0.628822,52.226,17.491,137.559,7.756,25.841,23.55,0.553,18.267,7.052,18.33,0.593,12.98,0.774,3,3
NWCA11-1074,5279,1,M,CPL,PRLW,42,25,2.6521,0.7096,0.8992,41,1,2.6513,0.7139,0.8991,2,3,5,0,14,0,41,0,0,100,80,100,80,100,100,0,100,60,0,0.02,0.02,0,0,1.00643,60.086,19.94,143.455,7.509,25.573,22.28,0.606,17.181,5.843,17.652,0.606,12.08,0.735,6.425,6
NWCA11-1078,5146,1,M,CPL,PRLW,26,20,1.8899,0.5801,0.7336,25,1,1.8811,0.5844,0.7328,2,6,8,0,7,0,26,0,0,40,100,100,100,100,100,0,100,80,0,0.2,6.71,1.431,0.02,0.776596,48.257,17.444,120.441,6.269,26.864,24.55,0.593,19.211,8.733,19.494,0.533,13.87,0.591,3.2,3.2
NWCA11-1082,5310,1,I,CPL,PRLH,46,29,2.214,0.5783,0.8309,40,2,2.1797,0.5909,0.8286,9,23,32,0,3,2,38,60,100,0,40,100,100,100,100,100,100,100,0,0.42,0.3,0.238,3.00E-02,0.620537,52.772,17.557,137.978,7.742,25.896,23.67,0.562,18.242,7.058,18.347,0.602,12.81,0.781,4.85,4.85
NWCA11-1085,3713,1,M,CPL,PRLW,39,22,2.6195,0.715,0.8828,34,5,2.5576,0.7253,0.8793,11,8,19,0,5,3,35,0,0,0,0,40,100,100,100,0,100,100,0,1.12,0.33,0.239,0,0.591323,49.213,17.341,129.227,5.668,26.561,24.83,0.505,19.792,9.878,20,0.549,14.76,0.712,4.2,4.2
NWCA11-1086,5278,1,M,CPL,PRLW,61,31,2.9796,0.7248,0.9317,48,11,2.7274,0.7045,0.9164,13,21,34,0,9,6,49,0,0,0,100,100,100,80,80,20,100,100,0,14.56,0.31,0.191,-0.32,0.496912,52.087,20.297,131.93,6.425,26.832,25.31,0.541,20.813,11.69,21.189,0.532,16.31,0.75,5,5
NWCA11-1092,4476,1,I,W,PRLH,45,20,2.4731,0.6497,0.8517,32,4,2.0981,0.6054,0.7784,12,25,37,0,0,2,29,20,20,0,0,0,0,0,100,20,80,80,0,2.6,0,0,0,1.14624,9.428,11.542,57.516,0.019,16.408,19.93,0.513,14.391,9.623,13.801,0.433,8.85,0.542,6.55,6.55
NWCA11-1092,4477,2,I,W,PRLH,45,21,2.2907,0.6018,0.7853,35,4,2.3432,0.6591,0.7738,13,28,41,0,0,2,32,0,0,0,0,0,0,0,100,0,40,100,20,2.8,2.05,1.295,0.68,1.19064,7.459,8.596,45.068,3.30E-02,20.04,22.44,0.552,15.793,8.902,15.134,0.476,9.14,0.646,5.8,5.8
NWCA11-1095,4478,2,I,W,PRLH,30,17,2.1582,0.6345,0.8115,24,2,1.9356,0.6091,0.781,5,18,23,0,0,1,21,0,40,0,0,0,0,0,100,0,80,100,0,1.2,1.21,0.686,0,0.304473,55.187,11.124,109.325,7.393,22.461,17.28,0.642,12.533,0.627,13.081,0.617,7.78,0.678,4.633333333,4.633333333
NWCA11-1095,4479,1,I,W,PRLH,29,16,2.1341,0.6338,0.8286,22,3,1.9569,0.6331,0.8115,6,19,25,0,0,2,19,0,0,0,0,0,0,0,100,100,40,100,0,1,1.28,1.216,0,0.387325,55.016,11.482,111.548,7.58,23.3,18.26,0.588,13.762,1.71,14.34,0.564,9.26,0.636,5.5,5.5
NWCA11-1105,3314,1,I,W,EH,7,5,1.0875,0.5589,0.5116,6,0,1.0293,0.5745,0.4982,3,2,5,0,0,0,7,0,0,0,0,0,0,100,100,0,100,100,0,0,1.3,0.461,-0.31,0.334314,53.1,10.865,106.952,7.381,22.434,17.19,0.642,12.556,0.665,12.982,0.627,7.92,0.702,5.42,5.42
NWCA11-1105,5268,2,I,W,EH,6,4,1.112,0.6206,0.5293,6,0,1.112,0.6206,0.5293,3,2,5,0,0,0,6,0,0,0,0,0,0,100,100,0,100,60,0,0,1.21,0.975,0,0.303842,55.247,11.134,109.439,7.393,22.481,17.31,0.642,12.534,0.634,13.089,0.618,7.76,0.684,6.2,6.2
NWCA11-1106,5267,2,M,W,PRLH,15,7,1.788,0.6603,0.7343,10,5,1.4903,0.6472,0.677,3,11,14,0,0,3,4,0,0,0,0,0,0,100,100,0,100,40,0,2.36,1.55,1.03,0,0.811776,42.202,17.301,152.464,8.255,27.536,24.3,0.527,20.129,11.232,21.016,0.399,15.96,0.416,6.8,6.35
NWCA11-1106,5352,1,M,W,PRLH,24,13,1.7243,0.5426,0.7514,12,8,1.1987,0.4824,0.6144,4,16,20,0,0,10,2,0,0,0,0,0,0,60,100,0,100,40,0,32.92,1.59,1.339,0.27,1.55857,8.269,17.301,89.521,4.232,28.494,25.16,0.554,22.169,14.145,22.66,0.441,19.18,0.552,8.05,7.9
NWCA11-1109,5353,1,M,W,EH,8,5,0.5112,0.2458,0.2262,6,1,0.507,0.283,0.2255,2,3,5,0,0,2,6,0,0,0,0,0,0,40,100,40,100,0,0,0.04,0.31,0.24,0,0.355159,64.385,10.868,113.509,7.104,21.471,15.98,0.922,11.696,-0.234,12.77,0.9,7.42,0.927,3.7,3.7
NWCA11-1114,5354,1,M,W,PRLH,16,8,0.3656,0.1319,0.1273,6,7,0.1558,0.087,0.0561,3,10,13,0,0,6,6,0,0,0,0,0,0,100,100,0,100,80,0,1.48,0.99,0.517,0,0.489901,52.415,19.817,131.235,6.416,26.819,25.4,0.506,20.765,11.495,21.009,0.511,16.13,0.684,4.9,4.9
NWCA11-1116,5355,1,I,W,PRLH,33,17,1.8352,0.5249,0.7806,18,11,1.4561,0.5038,0.6852,10,21,31,0,0,10,18,0,0,0,0,0,0,100,100,0,100,100,0,33,6.67,1.736,0.53,0.268519,84.724,12.093,123.914,8.609,20.417,15.59,0.589,10.76,-1.191,11.308,0.635,5.93,0.807,5.4,5.4
NWCA11-1118,5356,1,M,W,EH,9,6,0.7171,0.3264,0.3152,3,4,0.1534,0.1396,0.0651,0,8,8,0,0,2,5,0,0,0,0,0,0,40,100,0,100,80,0,2.08,1.84,1.21,1.06,0.325947,53.851,10.647,105.821,7.348,22.355,16.93,0.647,12.526,0.65,13.013,0.618,8.12,0.657,6.7,6.7
NWCA11-1123,5357,1,M,W,EH,2,2,0.3169,0.4572,0.1741,2,0,0.3169,0.4572,0.1741,0,2,2,0,0,0,2,100,0,0,0,0,0,0,100,100,20,0,0,0,1.05,0.551,-0.19,0.437563,40.295,18.768,144.696,7.585,26.074,25.83,0.544,20.004,9.582,19.891,0.486,14.18,0.579,5.15,5.15
NWCA11-1125,5358,1,L,W,PRLH,33,19,2.2722,0.6498,0.8765,18,12,1.9009,0.6577,0.828,8,18,26,1,1,8,16,0,0,0,0,40,60,100,100,0,100,100,0,21.8,457.63,456.507,455.94,0.720622,39.265,9.556,51.946,1.113,16.62,9.99,1.249,4.169,-14.857,3.263,1.114,-1.65,1.118,,
NWCA11-1127,5359,1,I,W,EH,5,5,0.7738,0.4808,0.4617,4,1,0.6624,0.4778,0.4302,1,2,3,0,0,0,5,0,0,0,0,0,0,100,80,20,100,80,0,3.6,0.72,0.361,-0.17,0.507845,60.147,18.152,156.611,9.901,27.249,24.81,0.486,20.013,10.351,20.617,0.464,15.22,0.534,,
NWCA11-1129,5360,1,I,W,PRLW,10,8,1.6877,0.733,0.8046,5,5,1.2301,0.7643,0.689,3,4,7,0,0,2,6,0,0,0,0,20,100,100,60,0,100,20,0,24.06,3.35,3.263,3.25,0.783734,74.982,20.524,128.005,4.547,27.313,28.93,0.437,23.769,16.876,23.503,0.401,18.61,0.538,6.8,6.8
NWCA11-1131,5361,1,L,W,PRLW,11,6,2.0126,0.8393,0.841,11,0,2.0126,0.8393,0.841,1,1,2,2,2,0,11,0,0,0,0,0,100,100,100,0,100,100,0,0,3.15,3.15,3.15,0.856783,71.02,12.241,129.309,4.683,27.567,28.94,0.412,24.068,17.388,23.941,0.387,19.2,0.477,6.533333333,6.533333333
NWCA11-1133,5362,1,I,W,EH,9,7,0.2833,0.1289,0.1176,7,1,0.2796,0.1437,0.1169,1,5,6,0,0,1,8,20,0,0,0,0,0,100,100,100,100,40,0,0.02,0.66,0.454,0.15,0.728953,68.755,16.095,130.53,8.001,25.025,22.03,0.565,17.081,4.608,16.41,0.547,12.13,0.616,6.15,6.15
NWCA11-1136,5363,1,M,W,PRLH,3,3,0.9204,0.8378,0.5609,3,0,0.9204,0.8378,0.5609,1,2,3,0,0,0,3,60,0,0,0,0,0,60,80,60,80,80,0,0,1.15,0.615,0.28,0.762051,64.872,17.814,140.293,8.125,25.516,22.15,0.532,17.179,5.668,16.925,0.503,12.21,0.544,6.05,6.05
NWCA11-1140,5364,1,M,W,EH,18,10,1.1808,0.4085,0.5198,7,7,0.8353,0.4293,0.4258,4,13,17,0,0,5,9,0,0,0,0,0,0,80,100,0,100,100,0,1.78,0.53,0.221,0,0.660719,83.661,18.81,168.876,10.685,27.427,25.32,0.602,20.674,11.24,21.175,0.498,16.03,0.511,5.3,5.3
NWCA11-1144,5365,1,M,W,PRLH,12,7,0.66,0.2656,0.2606,4,5,0.4927,0.3554,0.2309,4,6,10,0,0,6,2,0,0,0,0,0,0,0,100,0,100,100,0,13.5,2621.62,2618.83,2615.9,1.06069,27.906,9.893,61.172,2.129,16.172,13.92,1.104,6.812,-1.432,7.282,1.018,-0.3,1.164,5.65,5.65
NWCA11-1146,5366,1,I,W,PRLH,36,22,2.4168,0.6744,0.8547,18,10,1.6478,0.5701,0.74,2,28,30,0,0,19,8,0,0,0,0,0,0,0,0,0,100,100,0,10.5,0.3,0.227,-6.00E-02,0.344815,64.999,11.321,122.484,7.618,21.354,15.87,0.857,11.586,-0.302,12.707,0.863,7.3,0.922,4.533333333,4.533333333
NWCA11-1147,5367,1,M,W,PRLH,15,6,1.0286,0.3798,0.4822,5,8,0.7893,0.4904,0.4301,5,8,13,0,0,6,6,0,0,0,0,0,0,100,100,0,100,80,0,2.42,0.71,0.561,-0.3,0.736633,62.058,20.468,132.816,5.241,26.918,26.47,0.592,21.181,12.212,21.412,0.518,15.89,0.717,6.65,6.65
NWCA11-1150,5368,1,L,W,PRLW,18,15,1.6308,0.5642,0.7041,18,0,1.6308,0.5642,0.7041,1,7,8,3,2,0,18,0,0,0,100,80,100,100,80,0,100,0,0,0,3.72,2.368,1.1,0.744103,82.525,17.525,161.711,7.957,26.823,24.46,0.461,19.622,9.32,20.183,0.477,14.78,0.668,5.9,5.9
NWCA11-1153,5349,2,I,IPL,PRLH,18,8,1.7039,0.5895,0.7791,10,6,1.4817,0.6435,0.7347,4,12,16,0,0,8,6,0,0,0,0,0,0,100,100,0,100,100,0,16.26,337.81,322.612,317.16,0.689758,41.515,10.1,82.149,3.072,17.856,13.05,0.769,7.779,-7.246,7.58,0.751,2.5,0.813,5.975,6.866666667
NWCA11-1153,5369,1,I,IPL,PRLH,15,7,1.5642,0.5776,0.7574,7,6,1.3338,0.6854,0.7085,2,10,12,0,0,7,4,0,0,0,0,0,0,0,100,0,100,100,0,13.78,0.36,0.278,4.00E-02,0.813555,80.266,21.217,133.083,5.113,27.084,26.45,0.605,22.053,13.848,22.403,0.535,17.66,0.866,6.933333333,6.933333333
NWCA11-1162,3529,1,I,W,PRLW,70,26,3.1766,0.7477,0.9316,66,3,3.114,0.7433,0.9278,14,43,57,3,2,2,60,0,0,0,0,40,60,100,100,40,100,100,60,4.5,2.09,1.028,0.14,1.18824,7.481,8.576,44.639,3.30E-02,20.118,22.5,0.54,15.836,8.912,15.216,0.473,9.18,0.641,5.35,5.35
